Station ID,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"145-0207","32.648141, -85.015153",2016,3200,Estimated,143,45,0,0,0.137,0.5,3430,Short Term
"145-0209","32.665411, -84.975286",2016,6180,Actual,143,44,0.259,0.049,0.142,0.7,8650,Short Term
"145-0212","32.667710, -84.968535",2016,5550,Estimated,,,0,0,0.165,0.5,6360,Short Term
"145-0214","32.672745, -84.924927",2016,3280,Estimated,,,0,0,0.217,0.5,5650,Short Term
"145-0216","32.669467, -84.900147",2016,2710,Estimated,116,32,0,0,0.178,0.5,3760,Short Term
"145-0218","32.659478, -84.867225",2016,3040,Estimated,,,0,0,0.146,0.5,3990,Short Term
"145-0220","32.597584, -84.826563",2016,1120,Actual,39,8,0.179,0.089,0.135,0.8,1220,Short Term
"145-0221","32.655535, -84.848343",2016,1450,Estimated,,,0,0,0.161,0.5,2140,Short Term
"145-0223","32.624973, -84.811230",2016,1760,Estimated,,,0,0,0.2,0.5,2880,Short Term
"145-0225","32.631706, -84.760288",2016,2170,Actual,81,32,0,0,0.113,0.5,2610,Short Term
"145-0227","32.826034, -84.812675",2016,730,Estimated,,,0,0,0.0967,0.5,820,Short Term
"145-0229","32.851621, -84.832978",2016,1950,Estimated,119,19,0.267,0.053,0.108,0.6,2370,Short Term
"145-0232","32.852453, -84.856929",2016,1690,Actual,70,108,0.237,0.059,0.0854,0.5,2240,Short Term
"145-0236","32.634400, -84.965500",2016,33500,Calculated,0,0,0,0,0,0,43600,Short Term
"145-0238","32.702300, -85.007300",2016,28200,Calculated,0,0,0,0,0,0,40000,Short Term
"145-0241","32.779900, -85.020100",2016,25600,Calculated,0,0,0,0,0,0,35700,Short Term
"145-0243","32.835100, -85.001700",2016,21900,Calculated,0,0,0,0,0,0,30000,Short Term
"145-0244","32.862600, -84.971200",2016,19800,Estimated,,,0,0,,,26400,Short Term
"145-0245","32.631531, -84.949312",2016,1970,Actual,66,8,0.508,0,0.122,0.5,2580,Short Term
"145-0247","32.682741, -84.997649",2016,830,Estimated,28,6,0,0,0.09,0.7,900,Short Term
"145-0250","32.762425, -84.877626",2016,1100,Estimated,,,0,0,0.177,0.5,1210,Short Term
"145-0254","32.820322, -84.924099",2016,600,Actual,42,11,1,0,0.152,0.8,790,Short Term
"145-0256","32.854207, -84.942659",2016,310,Estimated,,,0,0,0.09,,350,Short Term
"145-0258","32.867212, -84.947717",2016,270,Estimated,,,0,0,0.112,0.5,320,Short Term
"145-0261","32.681774, -84.736816",2016,570,Estimated,,,0,0,0.122,0.5,620,Short Term
"145-0263","32.813039, -84.697938",2016,660,Estimated,,,0,0,0.09,,740,Short Term
"145-0267","32.821004, -84.763811",2016,830,Estimated,,,0,0,0.106,0.5,920,Short Term
"145-0269","32.801601, -84.838572",2016,240,Actual,14,2,0.417,0,0.11,0.6,300,Short Term
"145-0272","32.813730, -85.023102",2016,3990,Estimated,194,220,0,0,0.09,0.7,5140,Short Term
"145-0273","32.821625, -84.961995",2016,1220,Estimated,,,0,0,0.108,0.5,1360,Short Term
"145-0274","32.839527, -84.914660",2016,890,Estimated,,,0,0,0.123,0.5,1080,Short Term
"145-0276","32.707617, -85.006040",2016,340,Estimated,24,6,0,0,0.09,0.6,340,Short Term
"145-0278","32.720343, -84.944613",2016,1740,Estimated,,,0,0,0.216,0.5,2110,Short Term
"145-0285","32.862239, -85.144383",2016,280,Actual,4,1,0,0,0.163,0.7,420,Short Term
"145-0302","32.702411, -84.698995",2016,790,Estimated,,,0,0,0.105,0.5,870,Short Term
"145-0306","32.824818, -85.045928",2016,80,Estimated,6,0,0,0,0.11,0.6,90,Short Term
"145-0308","32.819782, -85.041804",2016,780,Estimated,,,0,0,0.119,0.5,860,Short Term
"145-0310","32.805481, -84.921505",2016,620,Estimated,40,3,1.358,0,0.155,0.8,1080,Short Term
"145-0312","32.727222, -85.094001",2016,430,Estimated,,,0,0,0.123,0.5,750,Short Term
"145-0314","32.696613, -85.067000",2016,770,Estimated,68,30,0.811,0.135,0.0973,0.7,1200,Short Term
"145-8001","32.857580, -85.038522",2016,,,,,,,,,,Short Term
"145-8005","32.669139, -84.949799",2016,460,Estimated,,,0,0,,,830,Short Term
"145-8007","32.615615, -84.824536",2016,230,Estimated,,,0,0,,,250,Short Term
"145-8013","32.743482, -84.728898",2016,,,,,,,,,,Short Term
"145-8015","32.828352, -84.704619",2016,230,Estimated,,,0,0,0.122,0.5,260,Short Term
"145-8019","32.629515, -84.952225",2016,200,Estimated,,,0,0,,,210,Short Term
"145-8021","32.691331, -85.103736",2016,40,Estimated,,,0,0,0.14,,50,Short Term
"145-8025","32.864249, -84.899221",2016,590,Actual,22,10,0.678,0.339,0.101,0.6,970,Short Term
"145-8026","32.853468, -84.881781",2016,180,Estimated,,,0,0,0.135,0.5,320,Short Term
"145-8027","32.832622, -84.985538",2016,30,Estimated,,,0,0,0.14,,60,Short Term
"145-8028","32.866439, -85.004452",2016,260,Estimated,,,0,0,0.156,0.5,480,Short Term
"145-8030","32.689912, -85.035367",2016,160,Estimated,,,0,0,0.13,,280,Short Term
"145-8031","32.811786, -84.931932",2016,,,,,,,,,,Short Term
"145-8032","32.808898, -84.960980",2016,30,Estimated,,,0,0,0.134,0.5,60,Short Term
"145-8033","32.723463, -84.899262",2016,260,Estimated,8,3,0,0,0.1,0.5,310,Short Term
"145-8034","32.691163, -84.914073",2016,1210,Actual,81,10,1.322,0.083,0.245,0.6,1910,Short Term
"145-8035","32.701998, -84.958404",2016,1420,Estimated,,,0,0,0.213,0.5,2170,Short Term
"145-8036","32.635023, -84.994811",2016,70,Estimated,,,0,0,0.11,,140,Short Term
"145-8039","32.673034, -84.828615",2016,50,Estimated,,,0,0,0.178,0.5,60,Short Term
"145-8040","32.657216, -84.804379",2016,780,Estimated,,,0,0,,,980,Short Term
"145-8041","32.662567, -84.795655",2016,250,Actual,23,1,2,0,0.181,1,390,Short Term
